TransactionID,Date,Product,Category,UnitPrice,Quantity,DiscountPercent,TotalRevenue,Region,PaymentMethod,CustomerSegment,CustomerRating
TXN01317,2024-12-14,Smartphone,Electronics,974.66,5,0,4873.3,Central,Debit Card,Startup,2.0
TXN01001,2023-09-22,Office Chair,Furniture,480.42,3,0,1441.26,West,PayPal,Individual,4.0
TXN01069,2023-09-19,Monitor,Electronics,492.19,4,5,1870.32,North,Bank Transfer,Startup,2.0
TXN01968,2023-09-19,Headphones,Electronics,81.13,1,0,81.13,South,Bank Transfer,Individual,4.0
TXN00530,2024-09-29,Office Chair,Furniture,197.52,5,0,987.6,East,Debit Card,Enterprise,3.0
TXN00517,2024-05-29,Monitor,Electronics,759.14,3,0,2277.42,Central,Cash,Startup,4.0
TXN00415,2024-01-22,Headphones,Electronics,198.05,5,10,891.22,East,Credit Card,Startup,5.0
TXN00983,2024-01-23,Backpack,Accessories,84.74,5,15,360.14,East,Debit Card,Startup,
TXN00417,2023-07-06,Laptop,Electronics,1874.42,1,0,1874.42,East,Bank Transfer,Corporate,3.0
TXN01472,2023-06-21,Desk,Furniture,572.02,1,0,572.02,North,Credit Card,Individual,3.0
TXN01525,2024-10-20,Office Chair,Furniture,205.03,5,0,1025.15,North,Cash,Startup,3.0
TXN01576,2024/13/45,Notebook,Stationery,28.85,2,0,57.7,West,Credit Card,Enterprise,5.0
TXN00252,2023-03-11,Office Chair,Furniture,297.12,3,10,802.22,Central,Bank Transfer,Corporate,4.0
TXN01622,2024-04-07,Headphones,Electronics,169.82,2,0,339.64,Central,Bank Transfer,Corporate,1.0
TXN00071,2023-03-19,Desk,Furniture,654.25,3,0,1962.75,North,Credit Card,Startup,3.0
TXN01107,2023-08-15,Smartphone,Electronics,649.32,2,0,1298.64,North,PayPal,Corporate,4.0
TXN01363,2024-03-15,Smartphone,Electronics,553.13,5,0,2765.65,Central,Debit Card,Enterprise,3.0
TXN00351,2023-04-10,Smartphone,Electronics,490.79,1,15,417.17,West,Bank Transfer,Individual,3.0
TXN01392,2023-07-09,Desk,Furniture,447.66,2,15,761.02,North,Bank Transfer,Corporate,2.0
TXN01088,2023-09-13,Mouse,Accessories,78.74,1,0,78.74,North,Bank Transfer,Startup,5.0
TXN00066,2024-12-04,Smartphone,Electronics,539.34,5,20,2157.36,East,Credit Card,Individual,4.0
TXN00980,2023-08-20,Office Chair,Furniture,284.49,1,0,284.49,South,Cash,Corporate,4.0
TXN00125,2023-01-27,Notebook,Stationery,23.01,5,0,115.05,Central,PayPal,Enterprise,3.0
TXN01269,2023-01-08,Smartphone,Electronics,320.34,4,0,1281.36,West,Bank Transfer,Enterprise,4.0
TXN01682,2023-09-30,Keyboard,Accessories,80.84,2,10,145.51,East,Bank Transfer,Corporate,4.0
TXN01316,2024-02-26,Smartphone,Electronics,813.62,2,0,1627.24,South,Bank Transfer,Individual,4.0
TXN00544,2023-07-14,Laptop,Electronics,1805.04,4,15,6137.14,South,Bank Transfer,Startup,2.0
TXN00874,2024-12-28,Backpack,Accessories,99.4,2,0,198.8,North,Bank Transfer,Corporate,4.0
TXN01492,2023-07-10,Office Chair,Furniture,283.02,1,0,283.02,East,Bank Transfer,Enterprise,2.0
TXN01944,2024-12-09,Monitor,Electronics,828.37,1,0,828.37,South,Credit Card,Individual,5.0
TXN01621,2023-05-16,Backpack,Accessories,107.66,5,10,484.47,West,Bank Transfer,Enterprise,3.0
TXN00375,2024-02-08,Backpack,Accessories,161.76,1,5,153.67,West,PayPal,Startup,
TXN01248,2024-07-09,Monitor,Electronics,317.91,4,0,1271.64,Central,Debit Card,Corporate,4.0
TXN00213,2024-01-16,Mouse,Accessories,134.41,2,5,255.38,East,Debit Card,Startup,4.0
TXN01392,2023-07-09,Desk,Furniture,447.66,2,15,761.02,North,Bank Transfer,Corporate,2.0
TXN00325,2024-06-16,Headphones,Electronics,103.15,5,0,515.75,Central,Cash,Startup,3.0
TXN00030,2023-02-02,Office Chair,Furniture,314.91,3,5,897.49,East,PayPal,Startup,4.0
TXN01836,2023-10-24,Mouse,Accessories,,1,10,100.76,East,Debit Card,Enterprise,3.0
TXN00781,2023-07-05,Office Chair,Furniture,332.85,5,15,1414.61,South,PayPal,Startup,1.0
TXN00290,2023-07-26,Laptop,Electronics,1719.28,3,0,5157.84,South,Credit Card,Corporate,4.0
TXN01264,2023-02-24,Mouse,Accessories,83.65,2,15,142.21,North,Cash,Enterprise,4.0
TXN00496,2023-05-23,Desk,Furniture,640.96,1,0,640.96,Central,Cash,Startup,4.0
TXN00271,2024-08-20,Smartphone,Electronics,663.58,3,0,1990.74,East,Debit Card,Corporate,3.0
TXN00965,2024-02-24,Smartphone,Electronics,875.45,1,0,875.45,South,Credit Card,Enterprise,2.0
TXN00353,2023-08-23,Monitor,Electronics,379.49,4,0,1517.96,South,Credit Card,Individual,3.0
TXN00101,2024-09-26,Laptop,Electronics,840.24,2,10,1512.43,West,Bank Transfer,Startup,4.0
TXN00737,2024-12-03,Keyboard,Accessories,160.54,3,0,481.62,South,Debit Card,Corporate,5.0
TXN00255,2024-06-19,Desk,Furniture,547.99,4,5,2082.36,West,Debit Card,Startup,3.0
TXN01423,2023-07-23,Notebook,Stationery,10.62,1,0,10.62,Central,Bank Transfer,Enterprise,3.0
TXN00586,2024-03-14,Headphones,Electronics,271.9,3,0,815.7,South,Cash,Startup,4.0
TXN00553,2023-07-07,Monitor,Electronics,310.13,3,0,930.39,West,Cash,Enterprise,4.0
TXN00744,2024-10-27,Backpack,Accessories,124.33,1,0,124.33,West,Cash,Enterprise,3.0
TXN00057,2024-05-06,Smartphone,Electronics,1171.79,1,10,1054.61,Central,Bank Transfer,Enterprise,2.0
TXN00394,2024-11-04,Headphones,Electronics,53.43,2,5,101.52,South,Cash,Enterprise,5.0
TXN01365,2024-10-22,Notebook,Stationery,25.31,1,0,25.31,South,Cash,Corporate,4.0
TXN00751,2024-06-23,Notebook,Stationery,17.09,2,10,30.76,North,PayPal,Individual,3.0
TXN01002,2024-05-27,Mouse,Accessories,48.87,5,0,244.35,South,Credit Card,Startup,2.0
TXN01024,2023-06-19,Backpack,Accessories,170.46,4,0,681.84,West,Credit Card,Individual,4.0
TXN01713,2024-04-17,Notebook,Stationery,9.85,2,15,16.74,North,Credit Card,Startup,3.0
TXN00681,2024-12-10,Keyboard,Accessories,159.27,3,0,477.81,East,PayPal,Enterprise,4.0
TXN01564,2023-10-06,Headphones,Electronics,192.25,2,5,365.28,Central,Credit Card,Individual,4.0
TXN01524,2024-09-15,Notebook,Stationery,28.83,1,10,25.95,East,Bank Transfer,Corporate,4.0
TXN01898,2024-07-31,Headphones,Electronics,194.86,5,0,974.3,Central,Cash,Startup,5.0
TXN00614,2023-06-14,Notebook,Stationery,18.72,2,0,37.44,East,Credit Card,Startup,5.0
TXN00535,2024-01-21,Laptop,Electronics,1582.51,5,10,7121.3,East,Cash,Enterprise,2.0
TXN00308,2023-09-25,Headphones,Electronics,173.31,5,10,779.9,West,Credit Card,Individual,5.0
TXN00969,2024-07-11,Backpack,Accessories,70.14,3,0,210.42,Central,Cash,Startup,3.0
TXN01469,2024-03-10,Desk,Furniture,322.88,3,5,920.21,North,Bank Transfer,Corporate,4.0
TXN01936,2023-01-23,Desk,Furniture,364.61,4,5,1385.52,Central,Debit Card,Individual,3.0
TXN00549,2024-08-23,Monitor,Electronics,683.07,5,0,3415.35,South,Credit Card,Enterprise,3.0
TXN01126,2024-04-13,Desk,Furniture,297.67,4,0,1190.68,West,Debit Card,Corporate,1.0
TXN00412,2024-11-10,Backpack,Accessories,,2,10,265.16,West,Bank Transfer,Startup,2.0
TXN01407,2023-05-24,Laptop,Electronics,1303.45,1,0,1303.45,East,Debit Card,Corporate,5.0
TXN01419,2023-11-08,Desk,Furniture,436.37,3,10,1178.2,East,PayPal,Corporate,5.0
TXN01250,2024-02-09,Laptop,Electronics,1988.21,2,5,3777.6,South,Cash,Enterprise,4.0
TXN01952,2023-07-14,Smartphone,Electronics,914.97,5,0,4574.85,East,PayPal,Individual,5.0
TXN00257,2023-07-02,Office Chair,Furniture,382.77,5,0,1913.85,West,Credit Card,Corporate,4.0
TXN01086,2024-07-23,Notebook,Stationery,29.47,5,10,132.62,West,Debit Card,Startup,3.0
TXN00731,2023-03-23,Notebook,Stationery,11.63,3,5,33.15,North,PayPal,Corporate,5.0
TXN01495,2024-10-09,Office Chair,Furniture,478.4,1,0,478.4,North,Debit Card,Startup,5.0
TXN01857,2023-05-29,Headphones,Electronics,83.15,4,0,332.6,North,Credit Card,Corporate,4.0
TXN00345,2023-06-06,Mouse,Accessories,20.5,5,15,87.12,Central,Credit Card,Individual,3.0
TXN00271,2024-08-20,Smartphone,Electronics,663.58,3,0,1990.74,East,Debit Card,Corporate,3.0
TXN01424,2024-10-04,Notebook,Stationery,17.35,2,0,34.7,South,PayPal,Individual,4.0
TXN01890,2024-05-17,Backpack,Accessories,81.28,3,10,219.46,Central,Bank Transfer,Enterprise,1.0
TXN01186,2024-05-03,Laptop,Electronics,1272.77,5,0,6363.85,West,Cash,Corporate,4.0
TXN01478,2023-07-22,Desk,Furniture,573.54,4,0,2294.16,West,Debit Card,Enterprise,4.0
TXN01994,2023-12-31,Laptop,Electronics,1520.57,5,20,6082.28,South,Bank Transfer,Enterprise,4.0
TXN01780,2023-04-08,Office Chair,Furniture,478.74,1,0,478.74,Central,Credit Card,Corporate,
TXN00300,2023-08-20,Backpack,Accessories,94.53,4,0,378.12,Central,Cash,Individual,5.0
TXN01119,2023-10-27,Keyboard,Accessories,82.5,3,0,247.5,South,Cash,Enterprise,3.0
TXN01926,2024-11-01,Desk,Furniture,495.52,5,10,2229.84,South,Credit Card,Corporate,4.0
TXN01300,2023-06-23,Monitor,Electronics,,3,10,882.68,South,Bank Transfer,Startup,3.0
TXN00070,2024/13/45,Laptop,Electronics,816.41,4,10,2939.08,Central,Bank Transfer,Startup,5.0
TXN01568,2024-09-28,Keyboard,Accessories,50.68,3,20,121.63,South,PayPal,Startup,
TXN00573,2023-05-14,Laptop,Electronics,1404.26,2,10,2527.67,East,Credit Card,Individual,4.0
TXN01884,2024-11-16,Notebook,Stationery,5.92,5,0,29.6,Central,Bank Transfer,Enterprise,5.0
TXN01152,2023-09-07,Mouse,Accessories,102.9,4,0,411.6,West,PayPal,Corporate,5.0
TXN01477,2024-12-13,Headphones,Electronics,77.2,2,0,154.4,West,Cash,Startup,3.0
TXN00880,2024-04-15,Laptop,Electronics,1770.03,5,10,7965.14,South,Cash,Startup,5.0
TXN01768,2023-08-06,Smartphone,Electronics,1017.22,5,0,5086.1,South,Credit Card,Corporate,3.0
TXN00819,2024-11-04,Backpack,Accessories,192.81,4,0,771.24,East,Debit Card,Startup,5.0
TXN00481,2023-01-13,Smartphone,Electronics,984.38,1,10,885.94,West,Bank Transfer,Corporate,5.0
TXN00100,2024-07-03,Laptop,Electronics,1440.15,3,10,3888.41,West,Bank Transfer,Individual,5.0
TXN00608,2023-04-21,Keyboard,Accessories,34.35,1,0,34.35,South,PayPal,Enterprise,2.0
TXN00742,2023-08-05,Notebook,Stationery,11.12,3,0,33.36,Central,Credit Card,Individual,4.0
TXN01631,2023-09-19,Keyboard,Accessories,157.17,1,0,157.17,East,Credit Card,Enterprise,5.0
TXN01665,2024-02-09,Notebook,Stationery,23.05,5,0,115.25,West,Debit Card,Corporate,4.0
TXN00562,2023-11-16,Desk,Furniture,465.22,4,0,1860.88,West,Debit Card,Startup,4.0
TXN00112,2023-12-08,Laptop,Electronics,1953.28,1,5,1855.62,North,Bank Transfer,Enterprise,4.0
TXN01023,2024-05-06,Mouse,Accessories,148.67,2,5,282.47,North,Debit Card,Individual,3.0
TXN00240,2024-04-07,Laptop,Electronics,1154.53,1,20,923.62,North,Credit Card,Enterprise,4.0
TXN01212,2023-11-24,Headphones,Electronics,296.14,1,0,296.14,South,Bank Transfer,Enterprise,3.0
TXN00129,2024-05-05,Office Chair,Furniture,392.93,3,5,1119.85,West,PayPal,Individual,3.0
TXN01972,2023-10-18,Laptop,Electronics,1278.35,5,5,6072.16,North,Debit Card,Corporate,4.0
TXN01950,2023-04-29,Desk,Furniture,758.9,2,0,1517.8,South,Cash,Individual,5.0
TXN00508,2024-07-09,Backpack,Accessories,154.36,5,0,771.8,North,PayPal,Startup,5.0
TXN01905,2024-11-22,Desk,Furniture,248.31,2,0,496.62,West,Bank Transfer,Startup,5.0
TXN01259,2023-02-04,Keyboard,Accessories,193.87,4,0,775.48,North,Credit Card,Startup,4.0
TXN01960,2024-02-21,Laptop,Electronics,1046.11,2,0,2092.22,East,Bank Transfer,Enterprise,3.0
TXN00707,2024-02-28,Monitor,Electronics,599.84,1,15,509.86,North,Credit Card,Individual,2.0
TXN01826,2024-07-09,Notebook,Stationery,11.6,3,0,34.8,East,Bank Transfer,Corporate,5.0
TXN01672,2023-09-06,Headphones,Electronics,118.28,2,0,236.56,West,Cash,Individual,3.0
TXN00520,2023-12-21,Backpack,Accessories,150.46,1,0,150.46,East,Debit Card,Corporate,3.0
TXN00987,2023-11-21,Keyboard,Accessories,171.61,1,0,171.61,North,Credit Card,Enterprise,4.0
TXN00941,2023-08-10,Mouse,Accessories,89.42,3,0,268.26,West,Credit Card,Individual,4.0
TXN01827,2024-10-27,Laptop,Electronics,816.13,2,0,1632.26,South,PayPal,Individual,5.0
TXN00904,2024-11-01,Notebook,Stationery,23.63,1,0,23.63,South,Cash,Individual,4.0
TXN01108,2023-04-02,Mouse,Accessories,106.18,4,10,382.25,West,Cash,Enterprise,3.0
TXN01064,2023-01-12,Monitor,Electronics,332.75,1,10,299.48,West,Cash,Individual,4.0
TXN00731,2023-03-23,Notebook,Stationery,11.63,3,5,33.15,North,PayPal,Corporate,5.0
TXN00367,2024-05-07,Headphones,Electronics,99.72,5,0,498.6,North,Credit Card,Individual,
TXN01422,2024-01-15,Desk,Furniture,786.1,5,0,3930.5,East,Credit Card,Individual,4.0
TXN00675,2024-08-23,Notebook,Stationery,19.12,1,5,18.16,South,PayPal,Corporate,4.0
TXN01813,2023-07-19,Laptop,Electronics,1855.19,2,0,3710.38,East,PayPal,Individual,4.0
TXN01513,2024-03-07,Keyboard,Accessories,74.62,2,0,149.24,South,Cash,Startup,3.0
TXN00597,2024-03-14,Headphones,Electronics,126.72,2,0,253.44,South,Credit Card,Individual,4.0
TXN01197,2024-02-11,Keyboard,Accessories,48.97,1,0,48.97,North,PayPal,Startup,5.0
TXN01527,2023-02-21,Headphones,Electronics,88.34,5,15,375.45,South,PayPal,Enterprise,4.0
TXN00465,2024-04-29,Office Chair,Furniture,174.85,2,0,349.7,East,Bank Transfer,Corporate,3.0
TXN01677,2024-06-19,Laptop,Electronics,1483.65,2,0,2967.3,South,Debit Card,Individual,3.0
TXN01803,2023-10-20,Notebook,Stationery,16.82,1,0,16.82,North,Cash,Startup,5.0
TXN01053,2023-04-25,Notebook,Stationery,28.4,5,20,113.6,South,PayPal,Startup,2.0
TXN01975,2024-06-18,Laptop,Electronics,1652.83,1,10,1487.55,Central,Bank Transfer,Startup,2.0
TXN00486,2024-05-07,Mouse,Accessories,140.79,2,0,281.58,West,Credit Card,Individual,3.0
TXN00916,2024-03-17,Headphones,Electronics,66.04,1,0,66.04,East,Debit Card,Corporate,5.0
TXN00616,2024-12-18,Mouse,Accessories,38.1,2,0,76.2,South,PayPal,Startup,5.0
TXN00679,2023-07-23,Smartphone,Electronics,309.5,2,15,526.15,North,Cash,Individual,4.0
TXN00830,2024-12-09,Laptop,Electronics,1656.33,1,0,1656.33,North,Credit Card,Corporate,4.0
TXN00923,2024-12-05,Backpack,Accessories,168.77,5,15,717.27,,Cash,Corporate,4.0
TXN01113,2024-12-09,Mouse,Accessories,94.19,1,0,94.19,East,Cash,Enterprise,5.0
TXN00619,2023-01-14,Monitor,Electronics,550.69,5,0,2753.45,Central,Debit Card,Individual,4.0
TXN00772,2024-08-19,Smartphone,Electronics,523.92,2,0,1047.84,East,Cash,Corporate,4.0
TXN01287,2023-11-30,Desk,Furniture,359.22,2,0,718.44,South,Bank Transfer,Individual,5.0
TXN01545,2024-08-27,Laptop,Electronics,1582.47,2,5,3006.69,West,Cash,Corporate,5.0
TXN00594,2023-06-17,Monitor,Electronics,309.35,3,5,-999.0,North,Bank Transfer,Startup,2.0
TXN00116,2024-01-26,Smartphone,Electronics,667.86,4,10,2404.3,West,Credit Card,Individual,3.0
TXN00768,2024-11-05,Office Chair,Furniture,337.27,5,15,1433.4,West,Credit Card,Corporate,2.0
TXN01858,2023-02-02,Monitor,Electronics,296.42,3,20,711.41,West,PayPal,Individual,4.0
TXN00901,2024-08-08,Monitor,Electronics,563.45,2,15,957.86,Central,Debit Card,Corporate,2.0
TXN01947,2024-01-30,Monitor,Electronics,880.97,4,0,3523.88,East,Debit Card,Enterprise,4.0
TXN01441,2023-12-26,Office Chair,Furniture,423.94,5,0,2119.7,Central,Bank Transfer,Startup,3.0
TXN01791,2023-09-06,Notebook,Stationery,28.48,1,0,28.48,Central,PayPal,Startup,5.0
TXN00889,2024-05-18,Office Chair,Furniture,151.85,3,15,387.22,North,Cash,Individual,5.0
TXN00212,2024-10-03,Monitor,Electronics,480.75,4,0,1923.0,West,Cash,Startup,4.0
TXN00451,2024-05-13,Laptop,Electronics,,3,0,5860.17,South,Cash,Enterprise,4.0
TXN01177,2024-10-14,Mouse,Accessories,95.22,5,15,404.68,South,Cash,Enterprise,4.0
TXN00706,2024-09-03,Backpack,Accessories,42.27,2,0,84.54,West,Bank Transfer,Startup,5.0
TXN01286,2024-08-06,Desk,Furniture,573.18,3,5,1633.56,South,Cash,Enterprise,4.0
TXN01095,2024-09-17,Mouse,Accessories,,3,0,440.64,,Bank Transfer,Enterprise,5.0
TXN00211,2023-12-19,Keyboard,Accessories,161.35,4,0,645.4,East,Credit Card,Enterprise,4.0
TXN00121,2024-05-14,Monitor,Electronics,,1,0,752.99,Central,Cash,Enterprise,3.0
TXN01376,2023-10-30,Smartphone,Electronics,542.34,3,5,1545.67,Central,Cash,Individual,3.0
TXN01641,2023-08-30,Office Chair,Furniture,311.23,1,0,311.23,Central,Bank Transfer,Startup,5.0
TXN01714,2024-07-06,Headphones,Electronics,271.83,5,0,1359.15,East,PayPal,Startup,4.0
TXN00298,2023-07-20,Desk,Furniture,351.38,5,5,1669.06,Central,Cash,Startup,5.0
TXN00788,2024-03-04,Monitor,Electronics,588.15,4,0,2352.6,West,PayPal,Enterprise,4.0
TXN00136,2024-09-06,Office Chair,Furniture,530.05,2,0,1060.1,North,PayPal,Enterprise,3.0
TXN00484,2023-03-13,Smartphone,Electronics,493.95,4,10,1778.22,Central,Cash,Individual,4.0
TXN01934,2024-03-31,Monitor,Electronics,515.63,5,10,2320.34,South,Debit Card,Enterprise,3.0
TXN00299,2024-02-28,Mouse,Accessories,144.26,5,5,685.23,South,Cash,Corporate,5.0
